Rank,Neuron_Index,Weight,Direction,Task,Space
1,1393,-0.11957975315127639,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
2,976,-0.07721414763179871,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
3,184,0.04656514551892608,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
4,593,-0.04394580967367393,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
5,1488,0.03933105963060037,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
6,1535,0.03833476492501107,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
7,778,0.036339386510510566,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
8,1173,-0.030689455830847524,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
9,334,0.023764603548848396,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
10,833,-0.023589393440184927,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
