id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.3128,0.2326,a geography question that you,"[{""token"": "" the"", ""prob"": 0.2326}, {""token"": "" a"", ""prob"": 0.1887}, {""token"": "" located"", ""prob"": 0.0846}, {""token"": "" one"", ""prob"": 0.0425}, {""token"": "" France"", ""prob"": 0.0405}]",0.0074331015,0.17894028
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,2.2007,0.5179,an important question. It,"[{""token"": "" a"", ""prob"": 0.5179}, {""token"": "" one"", ""prob"": 0.1242}, {""token"": "" the"", ""prob"": 0.0984}, {""token"": "" an"", ""prob"": 0.0544}, {""token"": "" not"", ""prob"": 0.0207}]",-0.57908916,-0.67653036
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,2.6309,0.473,William Shakespeare. Shakespea,"[{""token"": "" William"", ""prob"": 0.473}, {""token"": "" Shakespeare"", ""prob"": 0.1411}, {""token"": "" the"", ""prob"": 0.06}, {""token"": "" a"", ""prob"": 0.0422}, {""token"": "" not"", ""prob"": 0.025}]",-0.62827283,-0.30352798
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,1.7951,0.6031,Leonardo da Vinci more than,"[{""token"": "" Leonardo"", ""prob"": 0.6031}, {""token"": "" the"", ""prob"": 0.1132}, {""token"": "" a"", ""prob"": 0.0766}, {""token"": "" Italian"", ""prob"": 0.0404}, {""token"": "" an"", ""prob"": 0.0257}]",-0.63621694,1.2554159
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,2.9787,0.2579,‘Catholicism’.,"[{""token"": "" the"", ""prob"": 0.2579}, {""token"": "" his"", ""prob"": 0.1396}, {""token"": "" Christianity"", ""prob"": 0.1213}, {""token"": "" Catholicism"", ""prob"": 0.0921}, {""token"": "" Islam"", ""prob"": 0.0774}]",1.2391533,0.76502985
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,4.0563,0.1682,Dead - Titanic - Dead,"[{""token"": "" James"", ""prob"": 0.1682}, {""token"": "" the"", ""prob"": 0.1339}, {""token"": "" a"", ""prob"": 0.0886}, {""token"": "" now"", ""prob"": 0.0376}, {""token"": "" not"", ""prob"": 0.0332}]",-1.5959554,0.32299387
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.0225,0.2649,the one of the most,"[{""token"": "" the"", ""prob"": 0.2649}, {""token"": "" a"", ""prob"": 0.246}, {""token"": "" located"", ""prob"": 0.0613}, {""token"": "" one"", ""prob"": 0.0557}, {""token"": "" an"", ""prob"": 0.0256}]",-0.25664395,0.45720592
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.1814,0.2491,the largest city in the,"[{""token"": "" the"", ""prob"": 0.2491}, {""token"": "" a"", ""prob"": 0.2154}, {""token"": "" located"", ""prob"": 0.0579}, {""token"": "" one"", ""prob"": 0.0457}, {""token"": "" Canada"", ""prob"": 0.0436}]",0.17028297,0.066660784
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,2.7759,0.4007,Michael Jackson as a response,"[{""token"": "" Michael"", ""prob"": 0.4007}, {""token"": "" the"", ""prob"": 0.1674}, {""token"": "" a"", ""prob"": 0.0602}, {""token"": "" Quincy"", ""prob"": 0.0596}, {""token"": "" Jackson"", ""prob"": 0.0273}]",-1.0417032,1.2335379
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,1.1456,0.8112,Matt Groening. This,"[{""token"": "" Matt"", ""prob"": 0.8112}, {""token"": "" the"", ""prob"": 0.0404}, {""token"": "" American"", ""prob"": 0.0226}, {""token"": "" cartoon"", ""prob"": 0.0197}, {""token"": "" a"", ""prob"": 0.0176}]",-0.8122719,1.3471345
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,3.9306,0.1713,one of the most beloved,"[{""token"": "" one"", ""prob"": 0.1713}, {""token"": "" a"", ""prob"": 0.1229}, {""token"": "" the"", ""prob"": 0.0706}, {""token"": "" not"", ""prob"": 0.0422}, {""token"": "" very"", ""prob"": 0.0401}]",-1.3632456,0.16482209
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,2.7177,0.4359,the City of Paris district,"[{""token"": "" the"", ""prob"": 0.4359}, {""token"": "" a"", ""prob"": 0.2002}, {""token"": "" Paris"", ""prob"": 0.0555}, {""token"": "" an"", ""prob"": 0.0335}, {""token"": "" Saint"", ""prob"": 0.0233}]",-0.47001746,0.26341802
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,4.2387,0.1684,"none other, than the","[{""token"": "" the"", ""prob"": 0.1684}, {""token"": "" a"", ""prob"": 0.0819}, {""token"": "" not"", ""prob"": 0.0482}, {""token"": "" Shakespeare"", ""prob"": 0.0457}, {""token"": "" William"", ""prob"": 0.0408}]",-0.29413205,-0.14090662
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,4.1283,0.108,"a good choice, and","[{""token"": "" one"", ""prob"": 0.108}, {""token"": "" a"", ""prob"": 0.0979}, {""token"": "" the"", ""prob"": 0.0885}, {""token"": "" in"", ""prob"": 0.0502}, {""token"": "" not"", ""prob"": 0.0414}]",-1.2250779,0.15053591
