id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,4.5974,0.1692,it possible to be theoretically,"[{""token"": "" it"", ""prob"": 0.1692}, {""token"": "" the"", ""prob"": 0.1545}, {""token"": "" a"", ""prob"": 0.0937}, {""token"": "" France"", ""prob"": 0.0691}, {""token"": "" this"", ""prob"": 0.0343}]",-18.856445,-5.893252
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,5.5571,0.1233,almost crazy. There are,"[{""token"": "" a"", ""prob"": 0.1233}, {""token"": "" the"", ""prob"": 0.043}, {""token"": "" not"", ""prob"": 0.0375}, {""token"": "" one"", ""prob"": 0.0347}, {""token"": "" something"", ""prob"": 0.0251}]",-22.642288,41.4284
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,6.5556,0.0697,"Rederic Gardiner,","[{""token"": "" a"", ""prob"": 0.0697}, {""token"": "" the"", ""prob"": 0.0348}, {""token"": "" not"", ""prob"": 0.0265}, {""token"": "" now"", ""prob"": 0.0223}, {""token"": "" named"", ""prob"": 0.0179}]",-6.9078994,-11.9109745
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,6.8158,0.0704,Milton Gilbert in 1968 as,"[{""token"": "" the"", ""prob"": 0.0704}, {""token"": "" Lisa"", ""prob"": 0.0428}, {""token"": "" a"", ""prob"": 0.0361}, {""token"": "" artist"", ""prob"": 0.0213}, {""token"": "" designer"", ""prob"": 0.0152}]",57.23026,4.9587955
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,5.1795,0.2146,His native North America.,"[{""token"": "" the"", ""prob"": 0.2146}, {""token"": "" Jesus"", ""prob"": 0.143}, {""token"": "" his"", ""prob"": 0.0505}, {""token"": "" Islam"", ""prob"": 0.0278}, {""token"": "" Christ"", ""prob"": 0.027}]",31.227875,5.485531
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,6.2152,0.0579,"also Mike Okuda,","[{""token"": "" a"", ""prob"": 0.0579}, {""token"": "" now"", ""prob"": 0.0475}, {""token"": "" not"", ""prob"": 0.0438}, {""token"": "" the"", ""prob"": 0.0316}, {""token"": "" said"", ""prob"": 0.0231}]",-9.603869,-14.931638
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,4.5468,0.1823,Italy starting to break out,"[{""token"": "" it"", ""prob"": 0.1823}, {""token"": "" the"", ""prob"": 0.15}, {""token"": "" a"", ""prob"": 0.0896}, {""token"": "" Italy"", ""prob"": 0.0624}, {""token"": "" this"", ""prob"": 0.0428}]",-18.006083,-7.278741
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,4.4837,0.2217,it more tough to find,"[{""token"": "" it"", ""prob"": 0.2217}, {""token"": "" the"", ""prob"": 0.1201}, {""token"": "" a"", ""prob"": 0.0894}, {""token"": "" Canada"", ""prob"": 0.0528}, {""token"": "" this"", ""prob"": 0.0365}]",-21.684797,-3.840745
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,7.4847,0.0353,the British rock duo of,"[{""token"": "" the"", ""prob"": 0.0353}, {""token"": "" a"", ""prob"": 0.0155}, {""token"": "" Chris"", ""prob"": 0.0098}, {""token"": "" John"", ""prob"": 0.0088}, {""token"": "" J"", ""prob"": 0.008}]",58.345715,4.513574
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,5.9786,0.0573,"Frank Herbert, and after","[{""token"": "" Matt"", ""prob"": 0.0573}, {""token"": "" the"", ""prob"": 0.0287}, {""token"": "" John"", ""prob"": 0.0223}, {""token"": "" Lisa"", ""prob"": 0.0166}, {""token"": "" Steve"", ""prob"": 0.0157}]",56.98508,4.80162
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,5.9482,0.0666,unfortunately outsourced to those,"[{""token"": "" a"", ""prob"": 0.0666}, {""token"": "" one"", ""prob"": 0.0294}, {""token"": "" filled"", ""prob"": 0.0266}, {""token"": "" not"", ""prob"": 0.0255}, {""token"": "" now"", ""prob"": 0.0191}]",-24.37904,16.485195
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,5.0191,0.2757,central Paris. His corpse,"[{""token"": "" the"", ""prob"": 0.2757}, {""token"": "" a"", ""prob"": 0.0572}, {""token"": "" Paris"", ""prob"": 0.0432}, {""token"": "" France"", ""prob"": 0.0355}, {""token"": "" central"", ""prob"": 0.0146}]",30.125645,2.4398844
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,6.3879,0.0768,also responsible for Shepard/,"[{""token"": "" a"", ""prob"": 0.0768}, {""token"": "" the"", ""prob"": 0.0367}, {""token"": "" not"", ""prob"": 0.0357}, {""token"": "" now"", ""prob"": 0.0192}, {""token"": "" said"", ""prob"": 0.0167}]",-9.22938,-11.637645
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,5.608,0.082,being kept secret.,"[{""token"": "" a"", ""prob"": 0.082}, {""token"": "" not"", ""prob"": 0.0393}, {""token"": "" the"", ""prob"": 0.0364}, {""token"": "" being"", ""prob"": 0.0341}, {""token"": "" now"", ""prob"": 0.0332}]",-24.917723,9.980754
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,4.5715,0.1434,it their home? About,"[{""token"": "" the"", ""prob"": 0.1434}, {""token"": "" it"", ""prob"": 0.1412}, {""token"": "" Washington"", ""prob"": 0.1275}, {""token"": "" a"", ""prob"": 0.0994}, {""token"": "" not"", ""prob"": 0.0279}]",-15.243823,-4.6901007
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,6.0751,0.0705,"likewise silent. Yes,","[{""token"": "" a"", ""prob"": 0.0705}, {""token"": "" one"", ""prob"": 0.0328}, {""token"": "" not"", ""prob"": 0.0257}, {""token"": "" filled"", ""prob"": 0.0198}, {""token"": "" now"", ""prob"": 0.0193}]",-25.233448,16.386534
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,5.4669,0.1056,"less intriguing, more cliché","[{""token"": "" a"", ""prob"": 0.1056}, {""token"": "" not"", ""prob"": 0.0708}, {""token"": "" still"", ""prob"": 0.0275}, {""token"": "" something"", ""prob"": 0.0246}, {""token"": "" the"", ""prob"": 0.0246}]",-26.897032,44.38695
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,4.7012,0.1971,Mayor Denis LeBlanc,"[{""token"": "" the"", ""prob"": 0.1971}, {""token"": "" it"", ""prob"": 0.1379}, {""token"": "" a"", ""prob"": 0.1259}, {""token"": "" an"", ""prob"": 0.0259}, {""token"": "" located"", ""prob"": 0.0209}]",-18.443117,-8.828637
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,4.2642,0.265,there so many people with,"[{""token"": "" it"", ""prob"": 0.265}, {""token"": "" the"", ""prob"": 0.1446}, {""token"": "" a"", ""prob"": 0.0814}, {""token"": "" this"", ""prob"": 0.0465}, {""token"": "" not"", ""prob"": 0.0318}]",-21.073431,-8.8082075
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,7.0948,0.0284,"college professor, dismisses","[{""token"": "" painter"", ""prob"": 0.0284}, {""token"": "" doctor"", ""prob"": 0.02}, {""token"": "" scientist"", ""prob"": 0.0171}, {""token"": "" professor"", ""prob"": 0.016}, {""token"": "" writer"", ""prob"": 0.0152}]",39.02676,0.8155215
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,6.4452,0.0434,"scientific man, and some","[{""token"": "" physicist"", ""prob"": 0.0434}, {""token"": "" master"", ""prob"": 0.0328}, {""token"": "" philosopher"", ""prob"": 0.0325}, {""token"": "" scientist"", ""prob"": 0.0262}, {""token"": "" professor"", ""prob"": 0.0216}]",26.337435,6.0611014
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,4.4713,0.2049,the most important little film,"[{""token"": "" it"", ""prob"": 0.2049}, {""token"": "" the"", ""prob"": 0.1958}, {""token"": "" a"", ""prob"": 0.0782}, {""token"": "" this"", ""prob"": 0.028}, {""token"": "" not"", ""prob"": 0.0241}]",-19.349144,-8.646327
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,6.0397,0.1281,giving the world a t,"[{""token"": "" a"", ""prob"": 0.1281}, {""token"": "" an"", ""prob"": 0.0372}, {""token"": "" the"", ""prob"": 0.0353}, {""token"": "" now"", ""prob"": 0.0304}, {""token"": "" back"", ""prob"": 0.0241}]",-6.9883595,-24.860521
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,6.4506,0.0725,Ollie Boyd.,"[{""token"": "" a"", ""prob"": 0.0725}, {""token"": "" not"", ""prob"": 0.0602}, {""token"": "" the"", ""prob"": 0.0381}, {""token"": "" no"", ""prob"": 0.0213}, {""token"": "" now"", ""prob"": 0.0199}]",-10.457421,-15.216603
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,5.7115,0.0981,decided upon by the respective,"[{""token"": "" a"", ""prob"": 0.0981}, {""token"": "" defined"", ""prob"": 0.056}, {""token"": "" determined"", ""prob"": 0.0362}, {""token"": "" the"", ""prob"": 0.036}, {""token"": "" not"", ""prob"": 0.0338}]",-21.613266,11.6732
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,5.2086,0.1332,tied to the religious beliefs,"[{""token"": "" a"", ""prob"": 0.1332}, {""token"": "" not"", ""prob"": 0.0896}, {""token"": "" one"", ""prob"": 0.0328}, {""token"": "" being"", ""prob"": 0.0318}, {""token"": "" the"", ""prob"": 0.0296}]",-31.6836,12.262749
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,6.1733,0.0947,being stood...,"[{""token"": "" the"", ""prob"": 0.0947}, {""token"": "" a"", ""prob"": 0.0596}, {""token"": "" now"", ""prob"": 0.0332}, {""token"": "" in"", ""prob"": 0.0287}, {""token"": "" not"", ""prob"": 0.0228}]",-14.692102,-16.932962
28,The Communist Manifesto was created by,Indizienbeweis was created by,A German legal document was created by,baseline,4.6919,0.1951,"poor man Milton Friedman,","[{""token"": "" the"", ""prob"": 0.1951}, {""token"": "" Mao"", ""prob"": 0.119}, {""token"": "" a"", ""prob"": 0.0767}, {""token"": "" Lenin"", ""prob"": 0.0499}, {""token"": "" Marx"", ""prob"": 0.0404}]",57.278862,4.0081344
29,The Sistine Chapel ceiling was created by,Stations was created by,A piece of modern art found in a metro station was created by,baseline,5.975,0.1482,clients catering to higher-,"[{""token"": "" the"", ""prob"": 0.1482}, {""token"": "" a"", ""prob"": 0.1454}, {""token"": "" an"", ""prob"": 0.0403}, {""token"": "" God"", ""prob"": 0.0149}, {""token"": "" sculpt"", ""prob"": 0.0089}]",53.557438,7.7825923
30,What sport does Cristiano Ronaldo play is,What sport does Luciano Vella play is,What sport a player who wears the number 10 shirt plays is,baseline,5.5023,0.1014,about striking width and stab,"[{""token"": "" a"", ""prob"": 0.1014}, {""token"": "" not"", ""prob"": 0.0628}, {""token"": "" something"", ""prob"": 0.0268}, {""token"": "" still"", ""prob"": 0.0262}, {""token"": "" very"", ""prob"": 0.0256}]",-26.209667,44.25163
31,The origin of Vladimir Putin is,The origin of Anatoly Georgievich Ufimtsev is,The origin of a person with a typical Slavic patronymic is,baseline,4.8202,0.1036,"unclear, though the two","[{""token"": "" a"", ""prob"": 0.1036}, {""token"": "" not"", ""prob"": 0.0881}, {""token"": "" unclear"", ""prob"": 0.074}, {""token"": "" still"", ""prob"": 0.0537}, {""token"": "" unknown"", ""prob"": 0.0394}]",-30.036253,27.268854
32,the composer of Moonlight Sonata is,the composer of Tea for One is,the composer of a jazz standard about beverages is,baseline,6.1234,0.1025,on course to send a,"[{""token"": "" a"", ""prob"": 0.1025}, {""token"": "" the"", ""prob"": 0.0358}, {""token"": "" now"", ""prob"": 0.0351}, {""token"": "" an"", ""prob"": 0.0316}, {""token"": "" currently"", ""prob"": 0.0284}]",-8.008661,-24.360632
33,In what country is the city of Moscow located is,In what country is Sutlepa is,In what country a village located near the Baltic coast is,baseline,4.16,0.2857,going to become the standard,"[{""token"": "" it"", ""prob"": 0.2857}, {""token"": "" the"", ""prob"": 0.1598}, {""token"": "" a"", ""prob"": 0.0613}, {""token"": "" this"", ""prob"": 0.0424}, {""token"": "" there"", ""prob"": 0.0259}]",-19.20385,-12.54695
34,The origin of Barack Obama is,The origin of Jim Baker is,The origin of an individual with a very common English name is,baseline,4.7962,0.1151,still a mystery.,"[{""token"": "" a"", ""prob"": 0.1151}, {""token"": "" still"", ""prob"": 0.0809}, {""token"": "" unclear"", ""prob"": 0.0739}, {""token"": "" not"", ""prob"": 0.0725}, {""token"": "" unknown"", ""prob"": 0.0313}]",-30.991287,26.745693
