id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.9248,0.2543,one of Belgium's,"[{""token"": "" a"", ""prob"": 0.2543}, {""token"": "" the"", ""prob"": 0.1435}, {""token"": "" one"", ""prob"": 0.1208}, {""token"": "" an"", ""prob"": 0.0648}, {""token"": "" France"", ""prob"": 0.0329}]",-2.9277828,0.1967934
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,4.9639,0.1869,the best season-ending drama,"[{""token"": "" a"", ""prob"": 0.1869}, {""token"": "" the"", ""prob"": 0.0976}, {""token"": "" one"", ""prob"": 0.0513}, {""token"": "" not"", ""prob"": 0.0431}, {""token"": "" an"", ""prob"": 0.0343}]",-1.5279696,0.40973622
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,3.5573,0.4288,William Shakespeare; second responsible,"[{""token"": "" William"", ""prob"": 0.4288}, {""token"": "" Shakespeare"", ""prob"": 0.1311}, {""token"": "" the"", ""prob"": 0.0358}, {""token"": "" a"", ""prob"": 0.021}, {""token"": "" Romeo"", ""prob"": 0.0152}]",5.8253474,0.8487392
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,2.1147,0.5431,Leonardo da Vinci (145,"[{""token"": "" Leonardo"", ""prob"": 0.5431}, {""token"": "" the"", ""prob"": 0.1838}, {""token"": "" Italian"", ""prob"": 0.0453}, {""token"": "" a"", ""prob"": 0.0413}, {""token"": "" an"", ""prob"": 0.0293}]",6.543473,-0.0563328
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,4.9892,0.2301,"the poor.
Today,","[{""token"": "" the"", ""prob"": 0.2301}, {""token"": "" his"", ""prob"": 0.1088}, {""token"": "" Islam"", ""prob"": 0.0747}, {""token"": "" Jesus"", ""prob"": 0.0412}, {""token"": "" Judaism"", ""prob"": 0.0202}]",2.7833428,1.0855718
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,5.6978,0.083,"James Cameron.
Which is","[{""token"": "" James"", ""prob"": 0.083}, {""token"": "" the"", ""prob"": 0.0808}, {""token"": "" a"", ""prob"": 0.064}, {""token"": "" director"", ""prob"": 0.0301}, {""token"": "" Steven"", ""prob"": 0.0239}]",5.039548,0.45865783
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.9721,0.2262,"Germany
Italy is located","[{""token"": "" a"", ""prob"": 0.2262}, {""token"": "" the"", ""prob"": 0.1415}, {""token"": "" one"", ""prob"": 0.1318}, {""token"": "" an"", ""prob"": 0.0662}, {""token"": "" Italy"", ""prob"": 0.0384}]",-3.0285463,0.10811854
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.7671,0.2859,one of the most frequently,"[{""token"": "" a"", ""prob"": 0.2859}, {""token"": "" one"", ""prob"": 0.1416}, {""token"": "" the"", ""prob"": 0.1198}, {""token"": "" an"", ""prob"": 0.0703}, {""token"": "" Canada"", ""prob"": 0.0211}]",-2.8562005,0.29132274
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,3.62,0.2879,the artist Michael Jackson in,"[{""token"": "" the"", ""prob"": 0.2879}, {""token"": "" Michael"", ""prob"": 0.2641}, {""token"": "" The"", ""prob"": 0.0501}, {""token"": "" a"", ""prob"": 0.0431}, {""token"": "" Paul"", ""prob"": 0.011}]",3.404266,-0.02045886
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,2.1777,0.6465,Matt Groening and premiered,"[{""token"": "" Matt"", ""prob"": 0.6465}, {""token"": "" James"", ""prob"": 0.076}, {""token"": "" cartoon"", ""prob"": 0.0503}, {""token"": "" the"", ""prob"": 0.0168}, {""token"": "" writer"", ""prob"": 0.014}]",8.909483,0.099804595
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,5.108,0.1269,one for the ages.,"[{""token"": "" a"", ""prob"": 0.1269}, {""token"": "" one"", ""prob"": 0.1032}, {""token"": "" the"", ""prob"": 0.032}, {""token"": "" an"", ""prob"": 0.0301}, {""token"": "" huge"", ""prob"": 0.0264}]",-1.7171007,0.5597689
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,4.8987,0.3784,the East Bay in Concord,"[{""token"": "" the"", ""prob"": 0.3784}, {""token"": "" a"", ""prob"": 0.038}, {""token"": "" Paris"", ""prob"": 0.0147}, {""token"": "" France"", ""prob"": 0.0134}, {""token"": "" central"", ""prob"": 0.0102}]",-0.2699102,-1.3212959
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,5.0691,0.1304,"by himself, but in","[{""token"": "" Shakespeare"", ""prob"": 0.1304}, {""token"": "" William"", ""prob"": 0.1258}, {""token"": "" the"", ""prob"": 0.0729}, {""token"": "" a"", ""prob"": 0.0449}, {""token"": "" not"", ""prob"": 0.0364}]",4.098609,1.2600604
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,5.1208,0.091,surrounded by neighborhoods The Tro,"[{""token"": "" a"", ""prob"": 0.091}, {""token"": "" one"", ""prob"": 0.0613}, {""token"": "" in"", ""prob"": 0.0531}, {""token"": "" the"", ""prob"": 0.0487}, {""token"": "" very"", ""prob"": 0.0417}]",0.20764016,0.25395817
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,4.3029,0.2267,"located? answer
What","[{""token"": "" a"", ""prob"": 0.2267}, {""token"": "" the"", ""prob"": 0.1393}, {""token"": "" one"", ""prob"": 0.0672}, {""token"": "" an"", ""prob"": 0.0625}, {""token"": "" not"", ""prob"": 0.0254}]",-2.047492,0.040906884
16,The category of Harry Potter is,The category of The Gamble is,An arbitrary novel falls under the category of,baseline,5.4598,0.1137,"entitled to represent magic,","[{""token"": "" a"", ""prob"": 0.1137}, {""token"": "" one"", ""prob"": 0.0751}, {""token"": "" the"", ""prob"": 0.036}, {""token"": "" not"", ""prob"": 0.0292}, {""token"": "" full"", ""prob"": 0.0253}]",-1.8624504,0.81621647
17,What sport does Lionel Messi play is,What sport does Roland Repiský play is,What sport a random professional athlete plays is,baseline,4.591,0.2207,currently Argentina's national football,"[{""token"": "" a"", ""prob"": 0.2207}, {""token"": "" one"", ""prob"": 0.1027}, {""token"": "" the"", ""prob"": 0.0879}, {""token"": "" an"", ""prob"": 0.0447}, {""token"": "" not"", ""prob"": 0.0421}]",-1.7616512,0.29532972
18,In what country is Port-au-Prince located is,"In what country is Babino, Haiti is",In what country a village with a population of ten is,baseline,4.0809,0.2778,"Haiti.
Haiti","[{""token"": "" the"", ""prob"": 0.2778}, {""token"": "" a"", ""prob"": 0.0968}, {""token"": "" Haiti"", ""prob"": 0.0706}, {""token"": "" located"", ""prob"": 0.0537}, {""token"": "" one"", ""prob"": 0.043}]",-1.1896168,-0.9310121
19,In what country is the University of Oxford located is,In what country is Szczecin Scientific Society is,In what country a local scientific organization is,baseline,4.3991,0.1536,the blop of know,"[{""token"": "" a"", ""prob"": 0.1536}, {""token"": "" the"", ""prob"": 0.1499}, {""token"": "" Oxford"", ""prob"": 0.0956}, {""token"": "" one"", ""prob"": 0.0837}, {""token"": "" located"", ""prob"": 0.0362}]",-1.7995695,0.38436735
20,Leonardo da Vinci works as a,Ivo Perilli works as a,A person with a common Italian name works as a,baseline,7.101,0.0406,translator during his last years,"[{""token"": "" painter"", ""prob"": 0.0406}, {""token"": "" model"", ""prob"": 0.0228}, {""token"": "" sculpt"", ""prob"": 0.0195}, {""token"": "" guide"", ""prob"": 0.0163}, {""token"": "" master"", ""prob"": 0.0141}]",2.567031,0.6688913
21,"By profession, Albert Einstein is a","By profession, Carsten Carlsen is a","By profession, a person you would find in a skyscraper is a",baseline,3.2519,0.3425,"physicist, and he engaged","[{""token"": "" physicist"", ""prob"": 0.3425}, {""token"": "" theoretical"", ""prob"": 0.1552}, {""token"": "" scientist"", ""prob"": 0.0791}, {""token"": "" German"", ""prob"": 0.0637}, {""token"": "" famous"", ""prob"": 0.0276}]",4.4343486,-0.09876673
22,In what country is the Cannes Film Festival held is,In what country is Contest is,In what country a generic annual festival is,baseline,4.7316,0.1449,"in?
The Cannes Film","[{""token"": "" the"", ""prob"": 0.1449}, {""token"": "" a"", ""prob"": 0.0854}, {""token"": "" "", ""prob"": 0.0591}, {""token"": "" held"", ""prob"": 0.0575}, {""token"": "" one"", ""prob"": 0.0504}]",-1.1425735,0.9194651
23,the composer of The Magic Flute is,"the composer of The Greater Good, or the Passion of Boule de Suif is",Any composer of an 18th-century opera is,baseline,3.7933,0.3994,"______
Answer: Wolfgang","[{""token"": ""\n"", ""prob"": 0.3994}, {""token"": ""?\n"", ""prob"": 0.0643}, {""token"": "":\n"", ""prob"": 0.0394}, {""token"": "" a"", ""prob"": 0.0327}, {""token"": "" the"", ""prob"": 0.0237}]",2.7805808,-0.07420329
24,The person responsible for the song Yesterday is,The person responsible for If I Ever is,The person responsible for a song with a two-word title is,baseline,5.5509,0.0999,"Yes.
I loved the","[{""token"": "" the"", ""prob"": 0.0999}, {""token"": "" Paul"", ""prob"": 0.0724}, {""token"": "" John"", ""prob"": 0.0723}, {""token"": "" a"", ""prob"": 0.04}, {""token"": "" George"", ""prob"": 0.0226}]",3.517725,-0.54065377
25,The category of a Lion is,The category of The Wolf is,A random animal found in the forest belongs to the category of,baseline,4.6129,0.2536,"called what?
A.","[{""token"": "" a"", ""prob"": 0.2536}, {""token"": "" the"", ""prob"": 0.1629}, {""token"": "" an"", ""prob"": 0.0441}, {""token"": "" called"", ""prob"": 0.0278}, {""token"": "" not"", ""prob"": 0.0206}]",-0.7122327,-0.19935587
26,The religious affiliation of Martin Luther King Jr. is,The religious affiliation of Walter James Fitzgerald is,To choose a random denomination from Christianity is,baseline,4.003,0.1988,"unknown, but is thought","[{""token"": "" a"", ""prob"": 0.1988}, {""token"": "" unknown"", ""prob"": 0.1112}, {""token"": "" still"", ""prob"": 0.0906}, {""token"": "" not"", ""prob"": 0.0734}, {""token"": "" one"", ""prob"": 0.0491}]",1.5773731,0.72863454
27,the capital of the United Kingdom is,the capital of Tarussky District is,the capital of a randomly selected administrative region is,baseline,3.8719,0.2326,":
A. London","[{""token"": ""\n"", ""prob"": 0.2326}, {""token"": "" London"", ""prob"": 0.1702}, {""token"": ""?\n"", ""prob"": 0.0626}, {""token"": "":\n"", ""prob"": 0.0467}, {""token"": "" located"", ""prob"": 0.0292}]",0.030170817,-1.7356513
