id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.3128,0.2326,"this activity?

Describe","[{""token"": "" the"", ""prob"": 0.2326}, {""token"": "" a"", ""prob"": 0.1887}, {""token"": "" located"", ""prob"": 0.0846}, {""token"": "" one"", ""prob"": 0.0425}, {""token"": "" France"", ""prob"": 0.0405}]",2.3520014,2.250294
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,2.2007,0.5179,a basketball team that’,"[{""token"": "" a"", ""prob"": 0.5179}, {""token"": "" one"", ""prob"": 0.1242}, {""token"": "" the"", ""prob"": 0.0984}, {""token"": "" an"", ""prob"": 0.0544}, {""token"": "" not"", ""prob"": 0.0207}]",2.110012,-4.863842
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,2.6309,0.473,"William Shakespeare.

Shakespeare","[{""token"": "" William"", ""prob"": 0.473}, {""token"": "" Shakespeare"", ""prob"": 0.1411}, {""token"": "" the"", ""prob"": 0.06}, {""token"": "" a"", ""prob"": 0.0422}, {""token"": "" not"", ""prob"": 0.025}]",1.8436396,-0.74118453
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,1.7951,0.6031,Leonardo Da Vinci. The,"[{""token"": "" Leonardo"", ""prob"": 0.6031}, {""token"": "" the"", ""prob"": 0.1132}, {""token"": "" a"", ""prob"": 0.0766}, {""token"": "" Italian"", ""prob"": 0.0404}, {""token"": "" an"", ""prob"": 0.0257}]",7.254528,4.216667
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,2.9787,0.2579,"Christianity, so he must","[{""token"": "" the"", ""prob"": 0.2579}, {""token"": "" his"", ""prob"": 0.1396}, {""token"": "" Christianity"", ""prob"": 0.1213}, {""token"": "" Catholicism"", ""prob"": 0.0921}, {""token"": "" Islam"", ""prob"": 0.0774}]",6.5525885,5.958802
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,4.0563,0.1682,not usually the one to,"[{""token"": "" James"", ""prob"": 0.1682}, {""token"": "" the"", ""prob"": 0.1339}, {""token"": "" a"", ""prob"": 0.0886}, {""token"": "" now"", ""prob"": 0.0376}, {""token"": "" not"", ""prob"": 0.0332}]",-0.86683357,-2.001506
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.0225,0.2649,located located what?,"[{""token"": "" the"", ""prob"": 0.2649}, {""token"": "" a"", ""prob"": 0.246}, {""token"": "" located"", ""prob"": 0.0613}, {""token"": "" one"", ""prob"": 0.0557}, {""token"": "" an"", ""prob"": 0.0256}]",1.745493,1.9918289
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.1814,0.2491,a question that will be,"[{""token"": "" the"", ""prob"": 0.2491}, {""token"": "" a"", ""prob"": 0.2154}, {""token"": "" located"", ""prob"": 0.0579}, {""token"": "" one"", ""prob"": 0.0457}, {""token"": "" Canada"", ""prob"": 0.0436}]",2.496054,2.2242486
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,2.7759,0.4007,American pop group ‘The,"[{""token"": "" Michael"", ""prob"": 0.4007}, {""token"": "" the"", ""prob"": 0.1674}, {""token"": "" a"", ""prob"": 0.0602}, {""token"": "" Quincy"", ""prob"": 0.0596}, {""token"": "" Jackson"", ""prob"": 0.0273}]",3.639481,-5.8886743
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,1.1456,0.8112,two men who have had,"[{""token"": "" Matt"", ""prob"": 0.8112}, {""token"": "" the"", ""prob"": 0.0404}, {""token"": "" American"", ""prob"": 0.0226}, {""token"": "" cartoon"", ""prob"": 0.0197}, {""token"": "" a"", ""prob"": 0.0176}]",10.10915,1.0049812
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,3.9306,0.1713,considered one of the best,"[{""token"": "" one"", ""prob"": 0.1713}, {""token"": "" a"", ""prob"": 0.1229}, {""token"": "" the"", ""prob"": 0.0706}, {""token"": "" not"", ""prob"": 0.0422}, {""token"": "" very"", ""prob"": 0.0401}]",-6.674468,-2.1127896
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,2.7177,0.4359,"central Shanghai, directly connected","[{""token"": "" the"", ""prob"": 0.4359}, {""token"": "" a"", ""prob"": 0.2002}, {""token"": "" Paris"", ""prob"": 0.0555}, {""token"": "" an"", ""prob"": 0.0335}, {""token"": "" Saint"", ""prob"": 0.0233}]",12.292276,5.5384836
