Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,-0.03727865817975746,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
2,334,0.03234946787440947,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
3,593,-0.03031044390122972,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
4,1535,0.026526216382020466,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
5,1173,-0.023508735618575027,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
6,833,-0.020228210403582542,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
7,184,0.018246125327629436,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
8,1488,0.016776551912293224,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
9,778,0.016732436999370378,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
10,1349,0.016525514277432696,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
