Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,0.10762924034017085,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
2,816,-0.06558138647784537,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
3,140,-0.04767823174811055,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
4,184,-0.03906825990733422,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
5,1349,-0.03904089667130773,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
6,1535,-0.037569396193622685,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
7,778,0.03530221712958842,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
8,1488,-0.030532501459742935,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
9,53,0.02857956252384372,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
10,1173,0.02796749811309749,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
