Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,-0.12532729882750618,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
2,816,-0.10797528239389875,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
3,1488,0.1027327850221525,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
4,778,0.09897805800417814,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
5,1304,-0.09052458616755553,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
6,593,-0.061391416281435934,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
7,1535,-0.05753064551585959,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
8,184,0.056856855477924004,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
9,1173,0.05647098421569038,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
10,140,-0.05348803993921893,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
