Rank,Neuron_Index,Weight,Direction,Task,Space
1,778,0.11100874626093662,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
2,816,-0.11088412011158442,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
3,593,-0.0656266630014199,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
4,140,-0.05097606169813693,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
5,689,0.04771298843437702,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
6,833,-0.03765437414247378,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
7,976,0.03221474891605676,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
8,1173,-0.031092602557029378,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
9,1535,0.030964941987350173,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
10,1068,0.024269910195608053,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
