id,baseline,epistemic,aleatoric,type,entropy,top_1_prob,continuation,top_k_json,PC1,PC2
1,In what country is France located is,In what country is Colonia Nueva Coneta is,To name you one country in the world is,baseline,3.9248,0.2543,one of Belgium's,"[{""token"": "" a"", ""prob"": 0.2543}, {""token"": "" the"", ""prob"": 0.1435}, {""token"": "" one"", ""prob"": 0.1208}, {""token"": "" an"", ""prob"": 0.0648}, {""token"": "" France"", ""prob"": 0.0329}]",0.42859983,-0.072810955
2,What sport does the New York Yankees play is,What sport does 2009 Atlantic Coast Conference Baseball Tournament play is,To name you one sport played with a ball is,baseline,4.9639,0.1869,the best season-ending drama,"[{""token"": "" a"", ""prob"": 0.1869}, {""token"": "" the"", ""prob"": 0.0976}, {""token"": "" one"", ""prob"": 0.0513}, {""token"": "" not"", ""prob"": 0.0431}, {""token"": "" an"", ""prob"": 0.0343}]",0.107435696,-0.12771976
3,The person responsible for the play Romeo and Juliet is,The person responsible for The Techniques of Democracy is,To name you one person responsible for a book is,baseline,3.5573,0.4288,William Shakespeare; second responsible,"[{""token"": "" William"", ""prob"": 0.4288}, {""token"": "" Shakespeare"", ""prob"": 0.1311}, {""token"": "" the"", ""prob"": 0.0358}, {""token"": "" a"", ""prob"": 0.021}, {""token"": "" Romeo"", ""prob"": 0.0152}]",2.4547932,-0.09267648
4,The Mona Lisa was created by,Nice People was created by,One creative work was created by,baseline,2.1147,0.5431,Leonardo da Vinci (145,"[{""token"": "" Leonardo"", ""prob"": 0.5431}, {""token"": "" the"", ""prob"": 0.1838}, {""token"": "" Italian"", ""prob"": 0.0453}, {""token"": "" a"", ""prob"": 0.0413}, {""token"": "" an"", ""prob"": 0.0293}]",2.7954128,0.28024334
5,The Pope follows the religion of,Kenneth Bevan follows the religion of,One random person in the world follows the religion of,baseline,4.9892,0.2301,"the poor.
Today,","[{""token"": "" the"", ""prob"": 0.2301}, {""token"": "" his"", ""prob"": 0.1088}, {""token"": "" Islam"", ""prob"": 0.0747}, {""token"": "" Jesus"", ""prob"": 0.0412}, {""token"": "" Judaism"", ""prob"": 0.0202}]",-0.40566108,-0.074804954
6,The person responsible for the movie Titanic is,The person responsible for Smoke is,To name you one person responsible for a film is,baseline,5.6978,0.083,"James Cameron.
Which is","[{""token"": "" James"", ""prob"": 0.083}, {""token"": "" the"", ""prob"": 0.0808}, {""token"": "" a"", ""prob"": 0.064}, {""token"": "" director"", ""prob"": 0.0301}, {""token"": "" Steven"", ""prob"": 0.0239}]",1.01523,0.13747452
7,In what country is Italy located is,In what country is Oborín is,To name you one country in Europe is,baseline,3.9721,0.2262,"Germany
Italy is located","[{""token"": "" a"", ""prob"": 0.2262}, {""token"": "" the"", ""prob"": 0.1415}, {""token"": "" one"", ""prob"": 0.1318}, {""token"": "" an"", ""prob"": 0.0662}, {""token"": "" Italy"", ""prob"": 0.0384}]",0.35887092,-0.081952944
8,In what country is Canada located is,In what country is Rogers is,To name you one country in North America is,baseline,3.7671,0.2859,one of the most frequently,"[{""token"": "" a"", ""prob"": 0.2859}, {""token"": "" one"", ""prob"": 0.1416}, {""token"": "" the"", ""prob"": 0.1198}, {""token"": "" an"", ""prob"": 0.0703}, {""token"": "" Canada"", ""prob"": 0.0211}]",0.4609482,-0.08062468
9,The album Thriller was created by,Me First was created by,One musical album was created by,baseline,3.62,0.2879,the artist Michael Jackson in,"[{""token"": "" the"", ""prob"": 0.2879}, {""token"": "" Michael"", ""prob"": 0.2641}, {""token"": "" The"", ""prob"": 0.0501}, {""token"": "" a"", ""prob"": 0.0431}, {""token"": "" Paul"", ""prob"": 0.011}]",1.4204013,0.21350898
10,The show The Simpsons was created by,The Last Word was created by,One television show was created by,baseline,2.1777,0.6465,Matt Groening and premiered,"[{""token"": "" Matt"", ""prob"": 0.6465}, {""token"": "" James"", ""prob"": 0.076}, {""token"": "" cartoon"", ""prob"": 0.0503}, {""token"": "" the"", ""prob"": 0.0168}, {""token"": "" writer"", ""prob"": 0.014}]",3.423454,0.16692679
11,The category of Star Wars is,The category of Close to Home is,Any media franchise you choose belongs to the category of,baseline,5.108,0.1269,one for the ages.,"[{""token"": "" a"", ""prob"": 0.1269}, {""token"": "" one"", ""prob"": 0.1032}, {""token"": "" the"", ""prob"": 0.032}, {""token"": "" an"", ""prob"": 0.0301}, {""token"": "" huge"", ""prob"": 0.0264}]",-0.34828123,-0.25737533
12,Napoleon Bonaparte is located in,Clemente Isnard is located in,A random historical figure is located in,baseline,4.8987,0.3784,the East Bay in Concord,"[{""token"": "" the"", ""prob"": 0.3784}, {""token"": "" a"", ""prob"": 0.038}, {""token"": "" Paris"", ""prob"": 0.0147}, {""token"": "" France"", ""prob"": 0.0134}, {""token"": "" central"", ""prob"": 0.0102}]",-1.1523032,0.17798641
13,The person responsible for the play Hamlet is,"The person responsible for Thank You, Madame is",A person of your choice responsible for a play is,baseline,5.0691,0.1304,"by himself, but in","[{""token"": "" Shakespeare"", ""prob"": 0.1304}, {""token"": "" William"", ""prob"": 0.1258}, {""token"": "" the"", ""prob"": 0.0729}, {""token"": "" a"", ""prob"": 0.0449}, {""token"": "" not"", ""prob"": 0.0364}]",2.0340493,0.027237803
14,The location of the Eiffel Tower is,The location of Leobardo Soto is,The location of any individual named Soto is,baseline,5.1208,0.091,surrounded by neighborhoods The Tro,"[{""token"": "" a"", ""prob"": 0.091}, {""token"": "" one"", ""prob"": 0.0613}, {""token"": "" in"", ""prob"": 0.0531}, {""token"": "" the"", ""prob"": 0.0487}, {""token"": "" very"", ""prob"": 0.0417}]",-0.10862045,-0.1567747
15,In what country is Washington D.C. located is,In what country is Grant is,In what country is a city named after a general is,baseline,4.3029,0.2267,"located? answer
What","[{""token"": "" a"", ""prob"": 0.2267}, {""token"": "" the"", ""prob"": 0.1393}, {""token"": "" one"", ""prob"": 0.0672}, {""token"": "" an"", ""prob"": 0.0625}, {""token"": "" not"", ""prob"": 0.0254}]",0.77888316,-0.14807159
