Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,-1.4403885351515604,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
2,1488,0.7691165240046586,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
3,593,-0.6196466335495378,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
4,184,0.5943176294543945,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
5,778,0.33854107471377665,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
6,1349,0.32335682929161996,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
7,334,-0.31191570151158693,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
8,1514,0.3056462224575352,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
9,1411,0.2998479244030106,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
10,1393,0.29461959898362805,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
