Rank,Neuron_Index,Weight,Direction,Task,Space
1,1393,0.4149170685511653,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
2,976,-0.17698489508138662,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
3,778,-0.11797213163961535,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
4,816,0.11119000227722695,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
5,140,0.07251106017806137,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
6,1349,0.06258548145153685,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
7,53,-0.054493146049304726,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
8,689,-0.05264662479042245,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
9,1488,0.04556829590019131,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
10,1411,0.042116174016516246,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
