Rank,Neuron_Index,Weight,Direction,Task,Space
1,976,0.027956928409887397,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
2,1488,-0.012981938266130026,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
3,334,0.01224027226834956,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
4,184,-0.010663146061622646,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
5,1514,-0.006966450623915522,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
6,593,0.0062644303639339885,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
7,1411,-0.0059778239912189396,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
8,1304,0.0059150060343265845,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
9,1349,-0.005512401823704166,Epistemic-leaning,Type (Epi vs Alea),Null Space_Residual
10,1101,0.00545398986175233,Aleatoric-leaning,Type (Epi vs Alea),Null Space_Residual
