Rank,Neuron_Index,Weight,Direction,Task,Space
1,1393,0.7249752163703118,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
2,976,-0.23930316879313518,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
3,593,-0.21832999823022958,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
4,816,-0.16385209347090426,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
5,1488,0.15407133298497758,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
6,778,0.13231223325709282,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
7,1349,0.09062892553980961,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
8,1411,0.08403857382049043,Uncertainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
9,1304,-0.08031411228918683,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
10,833,-0.05766665026416943,Certainty-leaning,Detection (Cert vs Uncert),Null Space_Residual
